dataset_pk,manuscript_pk
TRADAT001,TRAMAN001
TRADAT002,TRAMAN002
TRADAT003,TRAMAN003
TRADAT004,TRAMAN004
TRADAT005,TRAMAN005
TRADAT006,TRAMAN006
TRADAT007,TRAMAN007
TRADAT008,TRAMAN008
TRADAT009,TRAMAN009
TRADAT010,TRAMAN010
TRADAT011,TRAMAN011
TRADAT012,TRAMAN012
TRADAT013,TRAMAN013
TRADAT014,TRAMAN001
TRADAT015,TRAMAN014
TRADAT016,TRAMAN015
TRADAT017,TRAMAN016
TRADAT018,TRAMAN005
TRADAT019,TRAMAN017
TRADAT020,TRAMAN018
TRADAT021,TRAMAN007
TRADAT022,TRAMAN019
TRADAT023,TRAMAN020
TRADAT024,TRAMAN008
TRADAT025,TRAMAN012
TRADAT026,TRAMAN021
TRADAT027,TRAMAN022
TRADAT028,TRAMAN023
TRADAT029,TRAMAN003
TRADAT030,TRAMAN024
TRADAT031,TRAMAN025
TRADAT032,TRAMAN026
TRADAT033,TRAMAN027
TRADAT034,TRAMAN007
TRADAT035,TRAMAN028
TRADAT036,TRAMAN029
TRADAT037,TRAMAN030
TRADAT038,TRAMAN019
TRADAT039,TRAMAN031
TRADAT041,TRAMAN032
TRADAT042,TRAMAN033
TRADAT043,TRAMAN034
TRADAT044,TRAMAN035
