dataset_pk,population_pk,date_describe,date_iso,year
TRADAT001,TRAPOP001,,,
TRADAT001,TRAPOP002,,,
TRADAT001,TRAPOP003,,,
TRADAT001,TRAPOP004,,,
TRADAT001,TRAPOP005,,,
TRADAT045,TRAPOP006,,,
TRADAT002,TRAPOP007,,,
TRADAT003,TRAPOP008,,,
TRADAT003,TRAPOP009,,,
TRADAT004,TRAPOP010,,,
TRADAT005,TRAPOP011,,,
TRADAT006,TRAPOP012,,,
TRADAT007,TRAPOP013,,,
TRADAT007,TRAPOP014,,,
TRADAT007,TRAPOP015,,,
TRADAT007,TRAPOP016,,,
TRADAT008,TRAPOP017,,,
TRADAT009,TRAPOP018,,,
TRADAT010,TRAPOP019,,,
TRADAT010,TRAPOP020,,,
TRADAT011,TRAPOP021,,,
TRADAT012,TRAPOP022,,,
TRADAT012,TRAPOP023,,,
TRADAT013,TRAPOP024,,,
TRADAT014,TRAPOP025,,,
TRADAT014,TRAPOP026,,,
TRADAT014,TRAPOP027,,,
TRADAT014,TRAPOP028,,,
TRADAT014,TRAPOP029,,,
TRADAT015,TRAPOP030,,,
TRADAT016,TRAPOP031,,,
TRADAT017,TRAPOP032,,,
TRADAT018,TRAPOP033,,,
TRADAT019,TRAPOP034,,,
TRADAT020,TRAPOP035,,,
TRADAT021,TRAPOP036,,,
TRADAT021,TRAPOP037,,,
TRADAT021,TRAPOP038,,,
TRADAT021,TRAPOP039,,,
TRADAT022,TRAPOP040,,,
TRADAT023,TRAPOP041,,,
TRADAT023,TRAPOP042,,,
TRADAT023,TRAPOP043,,,
TRADAT023,TRAPOP044,,,
TRADAT023,TRAPOP045,,,
TRADAT023,TRAPOP046,,,
TRADAT023,TRAPOP047,,,
TRADAT023,TRAPOP048,,,
TRADAT023,TRAPOP049,,,
TRADAT023,TRAPOP050,,,
TRADAT023,TRAPOP051,,,
TRADAT023,TRAPOP052,,,
TRADAT023,TRAPOP053,,,
TRADAT023,TRAPOP054,,,
TRADAT023,TRAPOP055,,,
TRADAT023,TRAPOP056,,,
TRADAT024,TRAPOP057,,,
TRADAT025,TRAPOP058,,,
TRADAT026,TRAPOP059,,,
TRADAT027,TRAPOP060,,,
TRADAT028,TRAPOP061,,,
TRADAT029,TRAPOP062,,,
TRADAT029,TRAPOP063,,,
TRADAT030,TRAPOP064,,,
TRADAT031,TRAPOP065,,,
TRADAT032,TRAPOP066,,,
TRADAT033,TRAPOP067,,,
TRADAT034,TRAPOP068,,,
TRADAT034,TRAPOP069,,,
TRADAT034,TRAPOP070,,,
TRADAT034,TRAPOP071,,,
TRADAT035,TRAPOP072,,,
TRADAT036,TRAPOP073,,,
TRADAT037,TRAPOP074,,,
TRADAT038,TRAPOP075,,,
TRADAT039,TRAPOP076,,,
TRADAT039,TRAPOP077,,,
TRADAT039,TRAPOP078,,,
TRADAT040,TRAPOP079,,,
TRADAT041,TRAPOP080,,,
TRADAT041,TRAPOP081,,,
TRADAT042,TRAPOP082,,,
TRADAT042,TRAPOP083,,,
TRADAT043,TRAPOP084,,,
TRADAT044,TRAPOP085,,,
